customer_id,location_id,ChannelID,Age,Gender,Phone,RegisterDate
1,4,0,32,Female,01257479288,2021-02-15
2,5,0,33,Male,01249550667,2021-02-16
3,4,0,39,Female,01246861744,2021-02-17
4,2,0,25,Male,01537142505,2021-02-18
5,8,0,30,Male,01123684671,2021-02-19
6,8,0,21,Female,01555997766,2021-02-20
7,13,0,23,Male,01091036739,2021-02-21
8,4,0,18,Female,01249208556,2021-02-22
9,8,0,23,Male,01017799277,2021-02-23
10,2,0,45,Male,01529087412,2021-02-24
11,10,0,44,Male,01083400015,2021-02-25
12,11,0,39,Male,01529328551,2021-02-26
13,1,0,40,Female,01546041020,2021-02-27
14,7,0,18,Male,01214979108,2021-02-28
15,13,0,27,Male,01575127841,2021-03-01
16,2,0,25,Male,01580469425,2021-03-02
17,10,0,34,Female,01160872385,2021-03-03
18,5,0,53,Female,01094788310,2021-03-04
19,5,0,36,Female,01570417297,2021-03-05
20,3,0,24,Female,01191074775,2021-03-06
21,11,0,34,Female,01265897848,2021-03-07
22,13,0,60,Male,01583148464,2021-03-08
23,10,0,46,Male,01108229385,2021-03-09
24,3,0,50,Male,01192429190,2021-03-10
25,15,0,58,Male,01510363936,2021-03-11
26,6,0,22,Male,01157468288,2021-03-12
27,1,0,29,Female,01004515134,2021-03-13
28,7,0,19,Female,01154516128,2021-03-14
29,10,0,22,Female,01116120107,2021-03-15
30,5,0,27,Female,01591890209,2021-03-16
31,10,0,27,Female,01181467199,2021-03-17
32,9,0,29,Male,01123114833,2021-03-18
33,1,0,32,Male,01221242812,2021-03-19
34,9,0,31,Male,01271628092,2021-03-20
35,15,0,22,Male,01240508564,2021-03-21
36,9,0,54,Male,01256605551,2021-03-22
37,15,0,51,Male,01244268474,2021-03-23
38,6,0,45,Female,01541564136,2021-03-24
39,10,0,49,Female,01172921958,2021-03-25
40,15,0,57,Female,01137788824,2021-03-26
41,10,0,28,Male,01144630801,2021-03-27
42,3,0,41,Male,01252801188,2021-03-28
43,3,0,23,Female,01235271507,2021-03-29
44,3,0,19,Male,01052507628,2021-03-30
45,12,0,28,Female,01513455430,2021-03-31
46,5,0,24,Female,01137933559,2021-04-01
47,8,0,59,Male,01185206896,2021-04-02
48,1,0,33,Male,01131997718,2021-04-03
49,8,0,26,Male,01144342083,2021-04-04
50,8,0,19,Female,01242818387,2021-04-05
51,15,0,26,Female,01256629762,2021-04-06
52,15,0,57,Female,01094691510,2021-04-07
53,14,0,19,Female,01001174744,2021-04-08
54,11,0,43,Male,01541039631,2021-04-09
55,14,0,35,Male,01170569474,2021-04-10
56,11,0,40,Female,01566774744,2021-04-11
57,6,0,35,Female,01294992792,2021-04-12
58,1,0,22,Male,01566612887,2021-04-13
59,6,0,27,Male,01292235413,2021-04-14
60,12,0,53,Female,01555190760,2021-04-15
61,13,0,37,Female,01591735140,2021-04-16
62,11,0,29,Female,01292238486,2021-04-17
63,4,0,21,Female,01150543937,2021-04-18
64,4,0,18,Male,01263369842,2021-04-19
65,9,0,35,Female,01198214231,2021-04-20
66,4,0,48,Female,01132600176,2021-04-21
67,8,0,53,Male,01285792293,2021-04-22
68,5,0,20,Female,01023553859,2021-04-23
69,11,0,22,Female,01196726881,2021-04-24
70,13,0,28,Male,01584146495,2021-04-25
71,15,0,28,Male,01286858684,2021-04-26
72,1,0,19,Female,01105222225,2021-04-27
73,7,0,34,Female,01143359504,2021-04-28
74,10,0,22,Female,01177096097,2021-04-29
75,3,0,46,Female,01586954904,2021-04-30
76,4,0,31,Male,01283452884,2021-05-01
77,12,0,31,Female,01060576441,2021-05-02
78,12,0,18,Male,01267154224,2021-05-03
79,15,0,58,Female,01564834353,2021-05-04
80,11,0,18,Female,01554580634,2021-05-05
81,10,0,21,Male,01084887883,2021-05-06
82,7,0,25,Female,01091869724,2021-05-07
83,3,0,18,Female,01558079173,2021-05-08
84,1,0,24,Male,01054619446,2021-05-09
85,2,0,24,Male,01268894686,2021-05-10
86,5,0,54,Female,01129978883,2021-05-11
87,10,0,32,Female,01106803561,2021-05-12
88,14,0,53,Male,01097606982,2021-05-13
89,8,0,33,Male,01201388244,2021-05-14
90,5,0,26,Female,01164384063,2021-05-15
91,14,0,22,Female,01584922787,2021-05-16
92,10,0,42,Female,01272134575,2021-05-17
93,9,0,44,Male,01556633740,2021-05-18
94,13,0,46,Male,01154258939,2021-05-19
95,7,0,60,Male,01139963165,2021-05-20
96,6,0,35,Female,01280218539,2021-05-21
97,5,0,58,Female,01247353311,2021-05-22
98,10,0,22,Female,01294444005,2021-05-23
99,10,0,19,Male,01285024800,2021-05-24
100,11,0,18,Female,01299993016,2021-05-25
101,6,0,35,Male,01280137866,2021-05-26
102,8,0,19,Male,01262509696,2021-05-27
103,15,0,21,Female,01112926777,2021-05-28
104,5,0,51,Female,01180874536,2021-05-29
105,10,0,18,Male,01136785133,2021-05-30
106,15,0,29,Female,01514416627,2021-05-31
107,4,0,28,Male,01556294423,2021-06-01
108,4,0,28,Female,01027867425,2021-06-02
109,15,0,23,Male,01518945129,2021-06-03
110,13,0,25,Male,01246549663,2021-06-04
111,15,0,24,Male,01198646445,2021-06-05
112,7,0,28,Female,01158387228,2021-06-06
113,8,0,31,Male,01584803987,2021-06-07
114,14,0,25,Male,01234433922,2021-06-08
115,1,0,42,Male,01298711583,2021-06-09
116,2,0,31,Female,01056158524,2021-06-10
117,10,0,33,Female,01037919717,2021-06-11
118,1,0,30,Female,01519119993,2021-06-12
119,5,0,22,Female,01259826539,2021-06-13
120,6,0,50,Male,01128729751,2021-06-14
121,1,0,28,Female,01543099079,2021-06-15
122,14,0,27,Male,01163088010,2021-06-16
123,5,0,25,Male,01225847741,2021-06-17
